Winner ID	Winner Name	Winner Score	Winner Elo	Winner RD	Loser ID	Loser Name	Loser Score	Loser Elo	Loser RD	Timestamp	Index
338507587966205953	seth	9	1530.116632	65.1407085	82954085854089216	TK	0	1506.055843	78.88771164	Dec/22/2022 at 00:06:33	1,348
559457745779032085	BEAR	15	1489.765006	72.49745645	370319083264278528	BMills7	14	1462.609657	73.50043049	Dec/22/2022 at 01:36:25	1,349
338507587966205953	seth	9	1533.234834	65.50161412	184929953593294850	JakesterIX	2	1169.130819	135.676127	Dec/22/2022 at 03:11:00	1,350
82954085854089216	TK	8	1509.477853	78.91036161	160540151133503489	Kaui	1	1095.740075	114.1382424	Dec/22/2022 at 03:43:34	1,351
147819776293470210	BarneyBlaster	6	1412.016667	81.50306881	184929953593294850	JakesterIX	4	1149.122775	129.9688892	Dec/22/2022 at 03:54:47	1,352
399230263151820800	Quoise	6	1491.004696	182.6582381	559457745779032085	BEAR	2	1473.636374	72.22618855	Dec/22/2022 at 04:36:10	1,353
160540151133503489	Kaui	15	1151.19973	112.6567258	399230263151820800	Quoise	7	1342.62938	175.046457	Dec/22/2022 at 05:17:54	1,354
338507587966205953	seth	7	1537.651996	65.66112588	689137796648271998	antoniogr98	2	1257.601508	88.9817264	Dec/22/2022 at 17:05:07	1,355
465161170136072202	Cézarito	5	1907.782051	77.36128985	345026013253861396	BigNick	1	1835.096207	65.73762257	Dec/22/2022 at 17:21:59	1,356
345026013253861396	BigNick	14	1849.486679	65.4799695	465161170136072202	Cézarito	8	1888.059039	76.30995183	Dec/22/2022 at 17:57:39	1,357
399230263151820800	Quoise	17	1439.059353	159.8060663	603764155203321856	Bj1447594	6	1454.292897	88.87448487	Dec/22/2022 at 18:01:53	1,358
399230263151820800	Quoise	7	1500.943181	146.4087156	603764155203321856	Bj1447594	3	1434.001255	87.2157472	Dec/22/2022 at 18:35:49	1,359
295390108365094913	RuckusTheory	6	1534.310283	65.1890103	603764155203321856	Bj1447594	2	1418.622223	85.41984935	Dec/22/2022 at 19:15:46	1,360
338507587966205953	seth	7	1549.673544	65.34562891	402644200115535874	bennyokay	5	1525.46962	64.72249133	Dec/22/2022 at 20:44:50	1,361
117697656519786497	Pokebunny	6	1816.282732	73.35873864	493885737889038350	Matt	0	1597.134115	66.36502768	Dec/22/2022 at 21:05:14	1,362
338507587966205953	seth	11	1552.095484	65.78049813	160540151133503489	Kaui	8	1144.530379	111.1981179	Dec/22/2022 at 21:20:27	1,363
338507587966205953	seth	10	1563.60749	65.89682728	187084908559073280	AoZora	0	1483.975091	208.7973991	Dec/22/2022 at 22:17:13	1,364
82954085854089216	TK	8	1529.067469	77.70960214	338507587966205953	seth	4	1549.787505	65.61268146	Dec/22/2022 at 23:14:16	1,365
512334976969211924	Blowman	4	1600.910054	252.5369628	509247181652361216	Bbone	1	1287.173173	226.8300111	Dec/23/2022 at 00:26:27	1,366
117697656519786497	Pokebunny	8	1820.820182	73.35562118	399230263151820800	Quoise	4	1484.699317	140.9555903	Dec/23/2022 at 00:56:59	1,367
147819776293470210	BarneyBlaster	12	1432.665241	81.01681652	512334976969211924	Blowman	2	1409.736048	215.1165522	Dec/23/2022 at 00:57:21	1,368
338507587966205953	seth	7	1561.024674	65.32289265	82954085854089216	TK	5	1513.514743	76.56537908	Dec/23/2022 at 02:21:18	1,369
82954085854089216	TK	7	1531.728905	75.53227216	338507587966205953	seth	4	1547.615897	65.0642111	Dec/23/2022 at 02:52:39	1,370
370319083264278528	BMills7	3	1490.078432	73.65035365	345026013253861396	BigNick	2	1827.650616	65.88678904	Dec/23/2022 at 03:05:10	1,371
177238039527948288	Orion	10	1605.169244	77.44491743	559457745779032085	BEAR	9	1463.940029	71.65406302	Dec/23/2022 at 04:35:47	1,372
493885737889038350	Matt	6	1605.77616	66.12622871	255541617597874176	Colby2D	3	1476.986364	80.39093063	Dec/23/2022 at 12:48:13	1,373
399230263151820800	Quoise	3	1540.191925	131.4786996	295390108365094913	RuckusTheory	0	1521.747006	65.06183226	Dec/23/2022 at 13:38:39	1,374
336528791549640716	Stuffed Flatbread	13	1899.334145	79.20747792	465161170136072202	Cézarito	3	1871.956905	75.30194731	Dec/23/2022 at 14:26:45	1,375
338507587966205953	seth	4	1561.37544	64.81569448	493885737889038350	Matt	3	1591.587718	65.81167897	Dec/23/2022 at 16:01:37	1,376
493885737889038350	Matt	14	1602.655623	65.49459404	338507587966205953	seth	4	1550.633663	64.56119279	Dec/23/2022 at 16:28:17	1,377
336528791549640716	Stuffed Flatbread	7	1903.501948	79.30394759	119625351969243137	Dyla	0	1460.789462	268.8860809	Dec/23/2022 at 16:52:53	1,378
336528791549640716	Stuffed Flatbread	4	1906.977546	79.45180478	119625351969243137	Dyla	1	1433.696977	249.619881	Dec/23/2022 at 16:53:03	1,379
338507587966205953	seth	12	1571.127048	64.89150019	273289366321758210	hunter002_	8	1858.966717	70.12668553	Dec/23/2022 at 17:05:45	1,380
273289366321758210	hunter002_	12	1871.985967	69.61615628	318160158377246720	Balamb Transfer	0	1823.833486	105.2168925	Dec/23/2022 at 17:38:45	1,381
318160158377246720	Balamb Transfer	13	1856.63151	101.4263135	273289366321758210	hunter002_	5	1857.22989	69.14826223	Dec/23/2022 at 18:18:57	1,382
318160158377246720	Balamb Transfer	3	1883.682897	98.01331333	273289366321758210	hunter002_	2	1844.285268	68.68022266	Dec/23/2022 at 18:47:36	1,383
399230263151820800	Quoise	11	1581.497627	123.6340619	402644200115535874	bennyokay	8	1514.822853	64.58596255	Dec/23/2022 at 19:53:04	1,384
465161170136072202	Cézarito	20	1876.890834	75.12161682	338507587966205953	seth	9	1567.410956	65.1435227	Dec/23/2022 at 22:41:54	1,385
338507587966205953	seth	7	1580.075088	64.90196309	475110543880093707	Evil_Walrus	1	1575.476852	85.3468574	Dec/23/2022 at 23:12:40	1,386
338507587966205953	seth	3	1591.548218	64.66436981	475110543880093707	Evil_Walrus	2	1556.05104	83.5617542	Dec/23/2022 at 23:38:55	1,387
330320859229061122	Super63	11	1733.792246	68.37558943	475110543880093707	Evil_Walrus	1	1545.473014	82.37858316	Dec/24/2022 at 00:08:30	1,388
295390108365094913	RuckusTheory	14	1536.252228	64.83844926	493885737889038350	Matt	3	1587.970642	65.24495448	Dec/24/2022 at 00:27:44	1,389
345026013253861396	BigNick	9	1830.089737	66.29636811	147819776293470210	BarneyBlaster	3	1429.072217	80.93382554	Dec/24/2022 at 00:41:52	1,390
475110543880093707	Evil_Walrus	6	1563.419685	80.85111061	295390108365094913	RuckusTheory	1	1524.927458	64.60030405	Dec/24/2022 at 01:38:18	1,391
295390108365094913	RuckusTheory	4	1538.788396	64.38633338	338507587966205953	seth	2	1577.665052	64.44649684	Dec/24/2022 at 02:55:08	1,392
317495021106495488	duckydonne	15	1403.970686	71.85388011	960057707572916244	Yaupon	0	1300.834283	233.9114712	Dec/24/2022 at 08:52:25	1,393
402644200115535874	bennyokay	12	1520.087712	64.83845823	960057707572916244	Yaupon	1	1246.443544	204.6485832	Dec/24/2022 at 09:52:02	1,394
585608016347267107	Baltor33	9	1398.433431	146.2214431	317495021106495488	duckydonne	2	1388.25716	71.42272335	Dec/24/2022 at 11:31:52	1,395
402644200115535874	bennyokay	6	1532.468907	64.57594074	295390108365094913	RuckusTheory	2	1526.57672	64.15198876	Dec/24/2022 at 12:59:56	1,396
402644200115535874	bennyokay	6	1539.661117	64.49146898	317495021106495488	duckydonne	5	1379.54196	70.93935508	Dec/24/2022 at 14:46:12	1,397
295390108365094913	RuckusTheory	5	1539.761959	63.94975822	338507587966205953	seth	0	1564.371069	64.22625786	Dec/24/2022 at 16:39:50	1,398
336528791549640716	Stuffed Flatbread	6	1910.952293	79.33114179	295390108365094913	RuckusTheory	3	1537.121608	64.36951704	Dec/24/2022 at 18:51:18	1,399
465161170136072202	Cézarito	9	1882.078004	74.90844188	493885737889038350	Matt	8	1583.999269	65.45639758	Dec/24/2022 at 19:19:02	1,400
402644200115535874	bennyokay	7	1551.216709	64.24723395	295390108365094913	RuckusTheory	2	1525.605265	64.13287449	Dec/24/2022 at 21:59:41	1,401
295390108365094913	RuckusTheory	7	1529.753274	64.49411451	621313026666004511	EddieO	0	1200.635933	216.8572266	Dec/24/2022 at 23:24:19	1,402
475110543880093707	Evil_Walrus	8	1581.268803	79.44756666	338507587966205953	seth	7	1552.912696	64.02170902	Dec/24/2022 at 23:34:59	1,403
338507587966205953	seth	5	1561.560123	63.8770892	559457745779032085	BEAR	4	1453.207493	71.02965844	Dec/25/2022 at 00:04:41	1,404
330320859229061122	Super63	14	1740.981692	68.139918	338507587966205953	seth	1	1555.244202	63.88293927	Dec/25/2022 at 00:31:16	1,405
613483843537862675	Sam N	8	1684.763562	69.23635529	475110543880093707	Evil_Walrus	7	1568.46905	78.295758	Dec/25/2022 at 01:15:43	1,406
475110543880093707	Evil_Walrus	2	1590.565364	77.28978802	613483843537862675	Sam N	1	1667.368145	68.83974917	Dec/25/2022 at 01:15:56	1,407
475110543880093707	Evil_Walrus	8	1610.399588	76.25833122	613483843537862675	Sam N	3	1651.527382	68.39786904	Dec/25/2022 at 01:16:09	1,408
117697656519786497	Pokebunny	7	1826.33384	73.14444483	338507587966205953	seth	2	1551.000048	64.09682854	Dec/25/2022 at 02:10:45	1,409
147819776293470210	BarneyBlaster	5	1452.941042	79.74321954	338507587966205953	seth	2	1535.838706	64.00914365	Dec/25/2022 at 02:35:34	1,410
399230263151820800	Quoise	5	1588.386789	121.9329242	160540151133503489	Kaui	0	1138.828922	110.1181997	Dec/25/2022 at 02:44:30	1,411
338507587966205953	seth	6	1544.635058	63.8681195	147819776293470210	BarneyBlaster	3	1439.540048	78.5304134	Dec/25/2022 at 03:02:42	1,412
160540151133503489	Kaui	10	1169.962949	107.0652353	621313026666004511	EddieO	0	1089.024588	187.6681259	Dec/25/2022 at 13:36:00	1,413
603764155203321856	Bj1447594	5	1436.130563	83.6737097	317495021106495488	duckydonne	3	1367.283388	70.33531874	Dec/25/2022 at 15:27:06	1,414
465161170136072202	Cézarito	9	1884.505976	75.15762967	603764155203321856	Bj1447594	4	1433.149136	83.66755076	Dec/25/2022 at 17:40:03	1,415
603764155203321856	Bj1447594	17	1443.929898	82.89214761	509247181652361216	Bbone	1	1221.347839	196.1714813	Dec/25/2022 at 18:38:56	1,416
402644200115535874	bennyokay	5	1562.078786	64.02178344	295390108365094913	RuckusTheory	4	1518.810946	64.25335348	Dec/25/2022 at 23:13:21	1,417
330320859229061122	Super63	18	1747.934703	67.93424484	402644200115535874	bennyokay	9	1555.905154	64.03415131	Dec/25/2022 at 23:47:34	1,418
117697656519786497	Pokebunny	11	1830.058092	73.20786415	255541617597874176	Colby2D	9	1472.535702	80.17163637	Dec/26/2022 at 01:01:02	1,419
